timestamp,year,month,week,day,weekday,time,author,commit,nr_commit,nr_file,nr_insert,nr_delete,nr_change
2018-10-16 17:11,2018,10,42,16,Tue,17:11,yang.zhang,6b6b60c53292702203210f98832ef85623326659,1,13,104,58,46
2018-10-15 19:56,2018,10,42,15,Mon,19:56,Kai Zhou,1028ef9c0e9e209a8b57d135fba1ce9d90376475,1,5,246,23,223
2018-10-15 19:30,2018,10,42,15,Mon,19:30,Tao Zeng,0e699ce761427a6b2ee4adc7e167b5dfdc5be2fe,1,1,1,1,0
2018-10-15 19:28,2018,10,42,15,Mon,19:28,Tao Zeng,c7618b00fbe9388b375e4bbf9d637041ee257787,1,5,75,59,16
2018-10-15 18:17,2018,10,42,15,Mon,18:17,Tao Zeng,509ae0df57a139db1d634f75bc1a1e66d392daa8,1,17,3190,26,3164
2018-10-15 17:30,2018,10,42,15,Mon,17:30,Kai Zhou,a739e0e10196d5eb29a0525b4bb9000820729299,1,12,114,64,50
2018-10-15 10:34,2018,10,42,15,Mon,10:34,Kai Zhou,1336b92d140fccb1ddc958372b6890de29df77a9,1,1,40,16,24
2018-10-13 19:43,2018,10,41,13,Sat,19:43,Kai Zhou,d305461157e32240163c51780d74266427f43d96,1,9,357,35,322
2018-10-13 15:12,2018,10,41,13,Sat,15:12,Kai Zhou,113c1f097792173bf3a124c599fe780d9f892724,1,1,10,9,1
2018-10-13 14:46,2018,10,41,13,Sat,14:46,Kai Zhou,34250d977d19b7e15ca96a7f79b835cfbb954564,1,2,51,25,26
2018-10-13 13:54,2018,10,41,13,Sat,13:54,Kai Zhou,53060c815130da5b2974b2f91464a110ccce2870,1,7,30,29,1
2018-10-13 12:21,2018,10,41,13,Sat,12:21,Kai Zhou,be16bd42cf0a1ca02d4f7a8b485b0a5a75afeb8b,1,6,192,94,98
2018-10-12 19:29,2018,10,41,12,Fri,19:29,Kai Zhou,659bc784bace8b50e7206809bed2790e864e4996,1,10,771,36,735
2018-10-11 19:49,2018,10,41,11,Thu,19:49,Kai Zhou,d9613e8433372fedaf21d9d79868d2cfce6b5063,1,14,539,30,509
2018-10-11 18:47,2018,10,41,11,Thu,18:47,yang.zhang,cb197041e86cb99d49d48ba2839fcc4ce6894c81,1,13,1497,625,872
2018-10-11 18:45,2018,10,41,11,Thu,18:45,yang.zhang,0d9e37945003f43835972d33cfb2e6cd2bcb8ca5,1,13,1129,485,644
2018-10-09 18:46,2018,10,41,09,Tue,18:46,Kai Zhou,4200e1ac6a421387e5ee921a95a7afe9da13283f,1,14,118,76,42
2018-09-30 21:03,2018,09,39,30,Sun,21:03,yang.zhang,fab16f4893afe6ff2d97b916ee39b56a489ded4c,1,14,846,23,823
2018-09-30 16:34,2018,09,39,30,Sun,16:34,Kai Zhou,29c338dde3806aa4ad1b6f26c34ad8d77a0807f6,1,3,120,57,63
2018-09-30 10:51,2018,09,39,30,Sun,10:51,Kai Zhou,01f032b0d10fe3d9c1c6ec11cf1b58f9dba5f1b6,1,3,36,23,13
2018-09-29 21:35,2018,09,39,29,Sat,21:35,yang.zhang,133c31f78d989579281038320756c0722ecbca43,1,4,146,29,117
2018-09-29 19:32,2018,09,39,29,Sat,19:32,Kai Zhou,701d3d86df67016de96656f8140688dc7b90c295,1,4,26,27,-1
2018-09-29 19:17,2018,09,39,29,Sat,19:17,Tao Zeng,ee90ae87bc2567368f9d12eaa10b5ad029304b81,1,6,27,8,19
2018-09-29 14:14,2018,09,39,29,Sat,14:14,yang.zhang,3ce7c918ebd07188534ab1edcef9189a59153ed0,1,4,838,0,838
2018-09-29 14:03,2018,09,39,29,Sat,14:03,Kai Zhou,496e222cc5b3009bbebeb90e170ae5426bfe387f,1,4,25,94,-69
2018-09-29 13:34,2018,09,39,29,Sat,13:34,yang.zhang,98ca217fee85658a73e791a84695fadc3ea66572,1,10,912,704,208
2018-09-29 13:08,2018,09,39,29,Sat,13:08,Kai Zhou,42b1761d714dc4a6a571a9810729d11930f5fe39,1,2,103,38,65
2018-09-29 12:13,2018,09,39,29,Sat,12:13,Tao Zeng,baca59783fc5000572b4050a5eafd11e9a15dd90,1,2,1,1,0
2018-09-29 10:00,2018,09,39,29,Sat,10:00,Tao Zeng,6d62792064fbe95d4632ebc28f4d6bd1cb50691b,1,4,21,20,1
2018-09-29 10:00,2018,09,39,29,Sat,10:00,Kai Zhou,db06a02fbb7cb69b62d63f2c69447ddd68482400,1,1,33,1,32
2018-09-28 20:10,2018,09,39,28,Fri,20:10,Tao Zeng,81c8b76c6349f822de35433a17493bd455a4f532,1,1,1,1,0
2018-09-28 20:00,2018,09,39,28,Fri,20:00,Tao Zeng,f3f3b17b26cc7a15bc166e6e2c189d3fbefea73a,1,3,18,3,15
2018-09-28 19:27,2018,09,39,28,Fri,19:27,Kai Zhou,af57dae3220de2239d74c37d06707580817f45f1,1,1,7,6,1
2018-09-28 19:23,2018,09,39,28,Fri,19:23,Tao Zeng,94d932b49e19f211f2c085599f73c81e873a0918,1,16,1005,1385,-380
2018-09-28 17:32,2018,09,39,28,Fri,17:32,Kai Zhou,3d6f5f2344c7c00e71422931823cb626e95bbf96,1,2,83,6,77
2018-09-28 17:25,2018,09,39,28,Fri,17:25,Tao Zeng,7919475382208b58c272eb6e452e995528985996,1,4,21,18,3
2018-09-28 16:54,2018,09,39,28,Fri,16:54,Tao Zeng,c596769b63e852c3dab784043d1d741d1a4f1001,1,16,1286,516,770
2018-09-28 13:23,2018,09,39,28,Fri,13:23,Kai Zhou,9221e3621a27526ff4a41291abc62dfab3e5ce8d,1,7,82,55,27
2018-09-27 20:05,2018,09,39,27,Thu,20:05,Kai Zhou,27dd90596bdb1509b3cbe689f68d4831919814f2,1,6,603,35,568
2018-09-27 13:21,2018,09,39,27,Thu,13:21,Kai Zhou,1e256b8a06d81530560b094151302403342aefc9,1,2,8,9,-1
2018-09-27 11:59,2018,09,39,27,Thu,11:59,Tao Zeng,ff115330ccef441dd8b8080be2e830c84359c053,1,5,53,46,7
2018-09-27 11:02,2018,09,39,27,Thu,11:02,Kai Zhou,f08604da88f0c2b7cb9e4adc5009e37c585f1c90,1,2,16,11,5
2018-09-26 19:37,2018,09,39,26,Wed,19:37,Kai Zhou,4067a548bf230986a29619bdd1d667e1b526f7ee,1,12,408,197,211
2018-09-26 18:43,2018,09,39,26,Wed,18:43,Tao Zeng,7196cb9ad047b3e6ea2c60e53ee50a9e73bb602a,1,9,496,6,490
2018-09-26 18:21,2018,09,39,26,Wed,18:21,yang.zhang,580157b15ddb866a0e160118affd854dae1b558b,1,9,3072,0,3072
2018-09-26 14:35,2018,09,39,26,Wed,14:35,Kai Zhou,6f8e6e68f87bdcfcbf5d18fd5081dd1ead9e7412,1,5,246,212,34
2018-09-25 19:33,2018,09,39,25,Tue,19:33,Kai Zhou,6dcc26f37958e2fb15cf7a985b3f279da903d602,1,5,32,12,20
2018-09-25 19:12,2018,09,39,25,Tue,19:12,Tao Zeng,d250db8147a24c18a178d682789ff217e04f66d0,1,5,477,16,461
2018-09-25 18:39,2018,09,39,25,Tue,18:39,Kai Zhou,25cd4dbd3d4b75d276932c54e28ea3798fe41f32,1,11,214,119,95
2018-09-25 15:39,2018,09,39,25,Tue,15:39,Kai Zhou,5622a8b7cda779627f4eb0fdb3352af77a01b517,1,9,765,142,623
2018-09-21 20:39,2018,09,38,21,Fri,20:39,Kai Zhou,1331953cdaab9646bdf9e6a9c474552dc930d06a,1,9,321,36,285
2018-09-21 18:17,2018,09,38,21,Fri,18:17,Tao Zeng,26f43690428abc0ba4c980a3a787a36e5992f320,1,8,348,196,152
2018-09-21 14:22,2018,09,38,21,Fri,14:22,Kai Zhou,3c34df4c05496143c2d1bc5b10d90bb667c01af0,1,6,156,17,139
2018-09-21 14:15,2018,09,38,21,Fri,14:15,Tao Zeng,c4ca6db80dc6b37968ae649ed8dd1b4eff764c8d,1,9,436,266,170
2018-09-21 02:39,2018,09,38,21,Fri,02:39,Kai Zhou,b944d196d1581068a50322e6badf84d95ad0a941,1,7,79,38,41
2018-09-20 20:42,2018,09,38,20,Thu,20:42,Kai Zhou,3aae2678899e732675e713ec5f10ba45637501e4,1,26,988,535,453
2018-09-20 19:40,2018,09,38,20,Thu,19:40,Tao Zeng,e5ead93809999be438b0eb0bfbe02800aedf8034,1,2,14,12,2
2018-09-20 19:21,2018,09,38,20,Thu,19:21,Tao Zeng,5e7c88eb1ef9133c9f72d7982e8664d3d5c28c28,1,22,814,319,495
2018-09-20 11:32,2018,09,38,20,Thu,11:32,Kai Zhou,d315c44d14c0a72b911a734cbc45814aaf34dd07,1,3,139,157,-18
2018-09-19 21:38,2018,09,38,19,Wed,21:38,Kai Zhou,165632a1f0f4bce5af0b92f7477ef013f4558a4e,1,5,351,44,307
2018-09-19 18:29,2018,09,38,19,Wed,18:29,Kai Zhou,f6fb21603ba6e0ecf30bccb1c616c27507210461,1,10,314,44,270
2018-09-19 18:22,2018,09,38,19,Wed,18:22,Tao Zeng,1f57d858ede93c4e9880c3942979ca9f81853b75,1,22,1644,45,1599
2018-09-19 17:27,2018,09,38,19,Wed,17:27,Kai Zhou,57ad94d1a8178f9e90d7948211c403ad31759776,1,18,908,122,786
2018-09-19 13:30,2018,09,38,19,Wed,13:30,Tao Zeng,89de9ab76b1d032ef7b4229304767aba54967e77,1,31,3924,29,3895
2018-09-19 09:35,2018,09,38,19,Wed,09:35,yang.zhang,622ef480f22e1b9a89cf02ed523b9c4c9269a057,1,2,12,12,0
2018-09-18 20:50,2018,09,38,18,Tue,20:50,Kai Zhou,d5839bdc2d04061f8c5723a2da7fbe76c2f89d34,1,8,837,41,796
2018-09-18 15:33,2018,09,38,18,Tue,15:33,Kai Zhou,86285a945125bb8102c7b0403971b2c8cad6a157,1,13,343,62,281
2018-09-17 20:54,2018,09,38,17,Mon,20:54,Kai Zhou,721949b73afb2ec1e24173bedecae926c82c4c9c,1,11,281,53,228
2018-09-14 11:19,2018,09,37,14,Fri,11:19,Tao Zeng,d39dc1802bad9f22c8d3cc590de1b06e23b90e26,1,1,179,5,174
2018-09-13 17:55,2018,09,37,13,Thu,17:55,Kai Zhou,efe846dca20095a46162cb69b8f99650f29ed5e6,1,8,465,96,369
2018-09-12 21:44,2018,09,37,12,Wed,21:44,Kai Zhou,3dd815a9c215772879fc82327e95d199cd052d06,1,2,119,9,110
2018-09-12 20:00,2018,09,37,12,Wed,20:00,Kai Zhou,4fba7a8e58eb065602cad55ee7b49a1eaff15a3e,1,11,364,25,339
2018-09-12 19:53,2018,09,37,12,Wed,19:53,yang.zhang,0e9c55e5270dc1251308feca43e3df23226e54ba,1,16,209,1996,-1787
2018-09-12 16:18,2018,09,37,12,Wed,16:18,Kai Zhou,92b7c72d9b8576590b8f16585b8b9934a350332c,1,12,40,22,18
2018-09-12 15:55,2018,09,37,12,Wed,15:55,Kai Zhou,cf2f7ba0cc98a2f641c94ef3d087848147e39cc8,1,1,1,1,0
2018-09-12 15:52,2018,09,37,12,Wed,15:52,Kai Zhou,b549c381ffa7133f87155cada2cdf8a4b7aecb10,1,10,348,8,340
2018-09-12 14:28,2018,09,37,12,Wed,14:28,Kai Zhou,5dc2eed7b41a2f670c6b54522d70b2060d844402,1,2,8,6,2
2018-09-12 14:18,2018,09,37,12,Wed,14:18,Kai Zhou,4188d6153b11886905d27d413c6db55435e909c5,1,8,114,21,93
2018-09-12 11:47,2018,09,37,12,Wed,11:47,Kai Zhou,e54b5f0e3e64f1f32c46433e858acf23aea19b3f,1,3,664,0,664
2018-09-12 11:44,2018,09,37,12,Wed,11:44,Kai Zhou,398ee43696c1e4eaab92e16df1d972c7d8fefff3,1,35,846,121,725
2018-09-11 20:49,2018,09,37,11,Tue,20:49,Kai Zhou,77a54ff860edea7adb9e8464d863b7cc6b68cf65,1,6,558,23,535
2018-09-11 20:34,2018,09,37,11,Tue,20:34,Kai Zhou,27d7f2c86996d84883b7971397860246a3c86823,1,21,958,14,944
